"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5049","should show error message when 'Confirmation' field does not match the password","firefox","Thu Mar 20 15:14:20 UTC 2025","passed","Thu Mar 20 15:14:25 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","9181","should show error message when 'Last name' field is filled with invalid data","webkit","Thu Mar 20 15:16:08 UTC 2025","passed","Thu Mar 20 15:16:18 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","1669","should show error message when login fields are empty","chromium","Thu Mar 20 15:12:36 UTC 2025","passed","Thu Mar 20 15:12:38 UTC 2025","Login functionality","login.spec.ts","",""
"","27925","should show error message when 'Email' field is filled with invalid data","chromium","Thu Mar 20 15:13:19 UTC 2025","passed","Thu Mar 20 15:13:46 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","31423","should show error message when 'Email' field is filled with invalid data","firefox","Thu Mar 20 15:14:43 UTC 2025","passed","Thu Mar 20 15:15:15 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","6879","should show error message when 'Password' field is filled with invalid data","firefox","Thu Mar 20 15:14:13 UTC 2025","passed","Thu Mar 20 15:14:20 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","11575","should show error message when 'Login' field is filled with invalid data","webkit","Thu Mar 20 15:15:34 UTC 2025","passed","Thu Mar 20 15:15:46 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","5976","should allow user to login with valid credentials","firefox","Thu Mar 20 15:13:47 UTC 2025","passed","Thu Mar 20 15:13:53 UTC 2025","Login functionality","login.spec.ts","",""
"","2250","should show error message when login fields are empty","firefox","Thu Mar 20 15:13:54 UTC 2025","passed","Thu Mar 20 15:13:56 UTC 2025","Login functionality","login.spec.ts","",""
"","5976","should show error message when 'Confirmation' field does not match the password","chromium","Thu Mar 20 15:12:57 UTC 2025","passed","Thu Mar 20 15:13:03 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","8692","should show error message when 'Login' field is filled with invalid data","chromium","Thu Mar 20 15:12:43 UTC 2025","passed","Thu Mar 20 15:12:51 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","10070","should show error message when 'First name' field is filled with invalid data","webkit","Thu Mar 20 15:15:58 UTC 2025","passed","Thu Mar 20 15:16:08 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","6234","should allow user to registrate with valid credentials","firefox","Thu Mar 20 15:13:56 UTC 2025","passed","Thu Mar 20 15:14:02 UTC 2025","Registration functionality","registration.spec.ts","",""
"","10048","should show error message when 'Last name' field is filled with invalid data","firefox","Thu Mar 20 15:14:33 UTC 2025","passed","Thu Mar 20 15:14:43 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","7341","should show error message when 'First name' field is filled with invalid data","chromium","Thu Mar 20 15:13:03 UTC 2025","passed","Thu Mar 20 15:13:10 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","8823","should show error message when 'First name' field is filled with invalid data","firefox","Thu Mar 20 15:14:25 UTC 2025","passed","Thu Mar 20 15:14:33 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","3019","should show error message when login fields are empty","webkit","Thu Mar 20 15:15:25 UTC 2025","passed","Thu Mar 20 15:15:28 UTC 2025","Login functionality","login.spec.ts","",""
"","5094","should show error message when 'Confirmation' field does not match the password","webkit","Thu Mar 20 15:15:53 UTC 2025","passed","Thu Mar 20 15:15:58 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","7287","should show error message when 'Password' field is filled with invalid data","webkit","Thu Mar 20 15:15:46 UTC 2025","passed","Thu Mar 20 15:15:53 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","8632","should allow user to login with valid credentials","webkit","Thu Mar 20 15:15:16 UTC 2025","passed","Thu Mar 20 15:15:25 UTC 2025","Login functionality","login.spec.ts","",""
"","5949","should allow user to registrate with valid credentials","webkit","Thu Mar 20 15:15:28 UTC 2025","passed","Thu Mar 20 15:15:34 UTC 2025","Registration functionality","registration.spec.ts","",""
"","32863","should show error message when 'Email' field is filled with invalid data","webkit","Thu Mar 20 15:16:18 UTC 2025","passed","Thu Mar 20 15:16:51 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","4576","should allow user to registrate with valid credentials","chromium","Thu Mar 20 15:12:38 UTC 2025","passed","Thu Mar 20 15:12:43 UTC 2025","Registration functionality","registration.spec.ts","",""
"","8065","should show error message when 'Last name' field is filled with invalid data","chromium","Thu Mar 20 15:13:10 UTC 2025","passed","Thu Mar 20 15:13:19 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","10326","should show error message when 'Login' field is filled with invalid data","firefox","Thu Mar 20 15:14:02 UTC 2025","passed","Thu Mar 20 15:14:13 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","5775","should show error message when 'Password' field is filled with invalid data","chromium","Thu Mar 20 15:12:51 UTC 2025","passed","Thu Mar 20 15:12:57 UTC 2025","Registration functionality > Registration with invalid data","registration.spec.ts","",""
"","3890","should allow user to login with valid credentials","chromium","Thu Mar 20 15:12:32 UTC 2025","passed","Thu Mar 20 15:12:36 UTC 2025","Login functionality","login.spec.ts","",""
